"Referencia","Tipo de producto","Editorial","Autor","Apellido","Ciudad","Año","Tema","ISBN","Web","N Páginas","Area","Idioma"
"product_sku","product_type_name","product_editorial","product_autor","product_apellido","product_ciudad","product_anyo","product_tema","product_isbn","product_web","product_npag","product_area","product_idioma"
"P000001","Detalles","DIPUTACIÓ BARCELONA",,,"Barcelona",,,,,,,"Català"
"P000002","Detalles","Traficantes de sueños","Yproductions",,"Madrid",,,,,222,,"Español"
"P000003","Detalles","Traficantes de sueños","Lawrence ","Lessig","Madrid",,"Cultura libre;Software libre;Copyleft;Propiedad intelectual;Derecho",,,,,"Español"
"P000004","Detalles","Traficantes de sueños","Edward W. ","Soja","Madrid",,,,,,,"Español"
"P000005","Detalles","Traficantes de sueños","Boris Buden, Judith Butler, Alberto De Nicola, Brian Holmes, Jens Kastner, Maurizio Lazzarato, Isabell Lorey, Stefan Nowotny, Gerald Raunig, Gigi Roggero, Raúl Sánchez Cedillo (Universidad Nómada), Hito Steyerl, Benedetto Vecchi, Marion von Osten ",,"Madrid",,"Critica institucional;Clase creativa;Precarización;Institucionalidad;Producción artística y cultural",,,,,"Español"
"P000006","Detalles","Traficantes de sueños","Luis","Navarro","Madrid",,,"84 - 96453 - 46 - 4 ",,352,,"Español"
"P000007","Detalles","Traficantes de sueños",,,"Madrid",,"Propiedad intelectual;Derechos de autor;Copyleft",,,,,"Español"
"P000008","Detalles","Traficantes de sueños",,,"Madrid",,"Música Techno;Historia de la música;Contracultura",,,,,"Español"
"P000009","Detalles","Traficantes de sueños",,,"Madrid",,,,,,,"Español"
"P000010","Detalles","Grupo BPMO",,,,,,,,,"Turismo;Arquitectura","Español"
"P000011","Detalles",,"Jaime ","Gonzalo Cordero",,,"Autoedición",,,,"Editorial","Español"
"P000012","Detalles",,,,,,,,,,,"Español"
"P000013","Detalles","DIPUTACIÓ BARCELONA","Diputació de Barcelona. Àrea de Presidència. Direcció de Comunicació",,"Barcelona",2008,,,,107,,"Català"
"P000014","Detalles","DIPUTACIÓ BARCELONA","Diputació de Barcelona. Àrea de Cultura. Oficina de Patrimoni Cultural, Comasòlivas, J.",,"Barcelona",2008,,"978-84-9803-318-2",,191,,"Català"
"P000015","Detalles","DIPUTACIÓ BARCELONA","Diputació de Barcelona. Àrea de Cultura. Centre d'Estudis i Recursos Culturals, Ajuntament de Sant Pol de Mar, Ajuntament de Sant Cebrià de Vallalta, Ajuntament de Sant Iscle de Vallalta",,"Barcelona",2007,,,,72,,"Català"
"P000016","Detalles","DIPUTACIÓ BARCELONA","Diputació de Barcelona, Ajuntament de Ripollet",,"Barcelona",2007,,,,73,,"Català"
"P000017","Detalles","DIPUTACIÓ BARCELONA","Àrea de Cultura. Oficina de Patrimoni Cultural",,"Barcelona",2007,,"978-84-9803-188-1",,115,,"Català"
"P000018","Detalles","DIPUTACIÓ BARCELONA","Vicente, C. [coo.], Zamora, J.E. [coo.]",,"Barcelona",2007,,"978-84-9803-189-8",,115,,"Español"
"P000019","Detalles","DIPUTACIÓ BARCELONA","Diputació de Barcelona. Àrea de Cultura. Oficina de Patrimoni Cultural",,"Barcelona",2007,,"978-84-9803-218-5",,182,,"Català"
"P000020","Detalles","Escuela de Organización Industrial","CASANI, FERNANDO1, Autor RODRÍGUEZ POMEDA, JESÚS1, Autor MORCILLO ORTEGA, PATRICIO1, Autor MARTÍN MARTÍN, CARLOS1, Autor MINGUELA RATA, BEATRIZ1, Autor SÁNCHEZ FERNÁNDEZ, FLOR1, Autor MARTÍN CASTILLA, JUAN IGNACIO1, Autor LUQUE DE LA TORRE, Mª ÁNGELES1, Autor GÓMEZ GARCÍA, MÁXIMO1, Autor CARSI SISTER, ",,,2010,,,,,,"Español"
"P000021","Detalles",,"Ira V. Heffan",,,,,,,,,"English"
"P000022","Detalles",,"Theodor W. Adorno",,,,,,,,,"English"
